date,open,high,low,close,volume
2024-01-02,449.1000,452.7000,447.3000,450.0000,53261258
2024-01-03,449.2858,452.8872,447.4850,450.1861,80109285
2024-01-04,450.9450,454.5598,449.1376,451.8487,73162182
2024-01-05,449.7671,453.3724,447.9644,450.6684,61987754
2024-01-08,445.5606,449.1322,443.7748,446.4535,53101862
2024-01-09,443.5151,447.0704,441.7375,444.4039,80527238
2024-01-10,438.8790,442.3971,437.1200,439.7585,55243159
2024-01-11,439.3452,442.8670,437.5843,440.2256,55328265
2024-01-12,446.0485,449.6241,444.2608,446.9424,55227369
2024-01-15,443.8175,447.3752,442.0387,444.7069,53250492
2024-01-16,440.9750,444.5099,439.2076,441.8587,86255694
2024-01-17,443.5349,447.0903,441.7572,444.4238,60769771
2024-01-18,445.4577,449.0285,443.6723,446.3504,62256423
2024-01-19,446.1529,449.7293,444.3648,447.0470,83311772
2024-01-22,441.7865,445.3278,440.0158,442.6718,74796938
2024-01-23,441.8210,445.3627,440.0502,442.7064,57485735
2024-01-24,445.3913,448.9616,443.6062,446.2839,67392536
2024-01-25,439.0296,442.5489,437.2700,439.9094,85356898
2024-01-26,437.0000,440.5030,435.2485,437.8757,65014960
2024-01-29,428.1269,431.5588,426.4110,428.9849,78435262
2024-01-30,422.2657,425.6506,420.5733,423.1119,53872308
2024-01-31,413.9626,417.2809,412.3034,414.7922,79092991
2024-02-01,413.0587,416.3698,411.4031,413.8864,81058940
2024-02-02,407.5028,410.7693,405.8695,408.3194,83030671
2024-02-05,408.8841,412.1617,407.2452,409.7035,76968039
2024-02-06,409.7536,413.0382,408.1113,410.5747,64829311
2024-02-07,409.0755,412.3546,407.4359,409.8953,52568480
2024-02-08,398.0650,401.2559,396.4696,398.8627,70751049
2024-02-09,395.8715,399.0448,394.2849,396.6648,80298396
2024-02-12,395.8187,398.9916,394.2322,396.6119,57633528
2024-02-13,396.4709,399.6490,394.8818,397.2654,60649489
2024-02-14,390.0095,393.1358,388.4463,390.7911,71444801
2024-02-15,388.1205,391.2317,386.5649,388.8983,79933262
2024-02-16,384.1189,387.1980,382.5793,384.8887,85863469
2024-02-19,380.8688,383.9218,379.3422,381.6320,55029660
2024-02-20,385.4937,388.5838,383.9486,386.2662,57370808
2024-02-21,382.2374,385.3014,380.7054,383.0034,81981478
2024-02-22,382.2536,385.3177,380.7215,383.0196,75780864
2024-02-23,386.1448,389.2402,384.5971,386.9186,78838911
2024-02-26,383.8273,386.9041,382.2890,384.5965,89870846
2024-02-27,383.5094,386.5836,381.9723,384.2779,87567198
2024-02-28,384.1293,387.2085,382.5897,384.8991,83721002
2024-02-29,384.5527,387.6353,383.0114,385.3233,81084632
2024-03-01,379.5572,382.5997,378.0359,380.3178,65800768
2024-03-04,380.0272,383.0735,378.5040,380.7887,75649164
2024-03-05,385.9045,388.9979,384.3577,386.6778,57377825
2024-03-06,379.5443,382.5867,378.0230,380.3049,80379778
2024-03-07,383.3025,386.3750,381.7662,384.0706,80307626
2024-03-08,383.9596,387.0374,382.4207,384.7290,78851808
2024-03-11,381.4124,384.4698,379.8837,382.1767,67791960
2024-03-12,390.0542,393.1809,388.4909,390.8359,65127213
2024-03-13,393.4959,396.6501,391.9187,394.2844,66790837
2024-03-14,388.4943,391.6084,386.9372,389.2728,51333569
2024-03-15,388.9684,392.0864,387.4094,389.7479,83772804
2024-03-18,391.6003,394.7394,390.0308,392.3851,71694795
2024-03-19,390.9443,394.0781,389.3774,391.7277,65500745
2024-03-20,394.0497,397.2084,392.4704,394.8394,71921150
2024-03-21,393.9190,397.0767,392.3402,394.7084,78865608
2024-03-22,396.9797,400.1619,395.3886,397.7752,65258434
2024-03-25,403.4727,406.7070,401.8556,404.2813,83225626
2024-03-26,400.6453,403.8569,399.0395,401.4482,86778533
2024-03-27,401.7022,404.9223,400.0922,402.5072,65497291
2024-03-28,399.8201,403.0251,398.2176,400.6213,55512646
2024-03-29,400.5404,403.7512,398.9350,401.3431,80414931
2024-04-01,395.5019,398.6722,393.9167,396.2945,89717954
2024-04-02,393.1468,396.2983,391.5711,393.9347,55919525
2024-04-03,392.4562,395.6022,390.8833,393.2427,78507027
2024-04-04,396.5140,399.6925,394.9248,397.3087,83012936
2024-04-05,401.7013,404.9214,400.0913,402.5064,86822877
2024-04-08,396.0538,399.2286,394.4664,396.8475,54935256
2024-04-09,392.7640,395.9124,391.1898,393.5511,53672396
2024-04-10,395.7272,398.8993,394.1411,396.5202,89514863
2024-04-11,387.3034,390.4080,385.7511,388.0796,54670259
2024-04-12,385.4893,388.5794,383.9443,386.2618,57072302
2024-04-15,385.2311,388.3191,383.6871,386.0031,72998117
2024-04-16,390.7510,393.8833,389.1848,391.5341,67850921
2024-04-17,393.8830,397.0404,392.3043,394.6724,80015687
2024-04-18,392.6249,395.7721,391.0512,393.4117,57622289
2024-04-19,391.1927,394.3285,389.6248,391.9766,86577110
2024-04-22,390.2736,393.4021,388.7094,391.0557,58687793
2024-04-23,397.0280,400.2106,395.4367,397.8237,80764439
2024-04-24,395.3212,398.4901,393.7368,396.1134,52704141
2024-04-25,394.1605,397.3201,392.5807,394.9504,68936103
2024-04-26,395.8505,399.0237,394.2639,396.6438,51302333
2024-04-29,395.4831,398.6533,393.8980,396.2757,62552428
2024-04-30,394.7837,397.9483,393.2014,395.5749,62489226
2024-05-01,390.1313,393.2586,388.5676,390.9131,78789937
2024-05-02,390.2379,393.3661,388.6738,391.0199,68200699
2024-05-03,388.4938,391.6080,386.9367,389.2723,52270974
2024-05-06,393.6667,396.8223,392.0889,394.4556,89814466
2024-05-07,396.6636,399.8433,395.0738,397.4585,85547972
2024-05-08,396.7169,399.8970,395.1269,397.5119,86652957
2024-05-09,399.8043,403.0091,398.2019,400.6055,59863021
2024-05-10,398.4717,401.6659,396.8747,399.2703,65764410
